mel	output	text
mels/reagan_1985_6_2_003.pt	reagan_1985_6_2_003.wav	Tonight America is stronger because of the values that we hold dear.
mels/reagan_1985_5_5_048.pt	reagan_1985_5_5_048.wav	That this cruelty too will end and that peace and tranquility will return again.
mels/reagan_1985_21_11_023.pt	reagan_1985_21_11_023.wav	I explained our proposals for equitable, verifiable and deep reductions.
mels/reagan_1985_21_11_061.pt	reagan_1985_21_11_061.wav	And citizens of the Soviet Union need to know of America's deep desire for peace and our unwavering attachment to freedom.
mels/reagan_1985_5_5_058.pt	reagan_1985_5_5_058.wav	Never again.
mels/reagan_1985_6_2_021.pt	reagan_1985_6_2_021.wav	A revolution carrying us to new heights of progress by pushing back frontiers of knowledge and space.
mels/reagan_1985_6_2_092.pt	reagan_1985_6_2_092.wav	Yet I know from visiting farmers, many and great financial distress, that we need an orderly transition to a market-oriented farm economy.
mels/reagan_1985_6_2_012.pt	reagan_1985_6_2_012.wav	We're not here to congratulate ourselves on what we have done, but to challenge ourselves to finish what has not yet been done.
mels/reagan_1985_21_11_054.pt	reagan_1985_21_11_054.wav	I believe I succeeded.
mels/reagan_1985_5_5_043.pt	reagan_1985_5_5_043.wav	I simply can't build up my hopes on a foundation consisting of confusion, misery, and death.
