mel	output	text
mels/reagan_1988_31_5_172.pt	reagan_1988_31_5_172.wav	Peace between nations must be an enduring goal, not a tactical stage in a continuing conflict.
mels/reagan_1994_008.pt	reagan_1994_008.wav	American prestige was at an all time low and our leaders talked about an American malaise.
mels/queen_1958_025.pt	queen_1958_025.wav	For presents and parties, for friendship and goodwill.
mels/cooke_1974-12-23_070.pt	cooke_1974-12-23_070.wav	A copy of an article that I once written on the origins of golf.
mels/thatcher_1989_11_08_004.pt	thatcher_1989_11_08_004.wav	The United Nations must assert its authority and apply a total economic embargo unless Iraq withdraws without delay.
mels/byrne_2005-05-02_016.pt	byrne_2005-05-02_016.wav	He retired from the Department of Local Government in 1989 where he worked as a building inspector and was known to many as the grant man.
mels/reagan_1986_4_2_157.pt	reagan_1986_4_2_157.wav	We say to you tonight, you are not alone freedom fighters, America will support you with moral and material assistance.
mels/reagan_1981_18_11_051.pt	reagan_1981_18_11_051.wav	And from my conversations with Allied leaders, I know that they also remain true to this tried and proven course.
mels/cooke_1980-11-06_043.pt	cooke_1980-11-06_043.wav	A few minutes later a couple of our friends arrived and the man said can we still have dinner?
mels/odulaing_1986-06-04_007.pt	odulaing_1986-06-04_007.wav	and did you have brothers and sisters and were you the youngest?
mels/cronkite_2007_003.pt	cronkite_2007_003.wav	Today, surely, they know to plan for the aftermath of any military action they undertake.
mels/queen_1956_006.pt	queen_1956_006.wav	Happy Christmas from us all.
mels/reagan_1988_25_1_043.pt	reagan_1988_25_1_043.wav	Yes, we Americans like the future and like making the most of it.
mels/reagan_1988_25_1_042.pt	reagan_1988_25_1_042.wav	Where others seek to throw up barriers, we seek to bring them down, where others take counsel of their fears, we follow our hopes.
mels/reagan_1989_11_11_010.pt	reagan_1989_11_11_010.wav	The sweet part is California and the ranch and freedom.
mels/reagan_1983_23_3_070.pt	reagan_1983_23_3_070.wav	Another example of what's happened.
mels/reagan_1983_8_3_047.pt	reagan_1983_8_3_047.wav	i think i should point out
mels/reagan_1983_23_3_081.pt	reagan_1983_23_3_081.wav	These warheads can reach their targets in a matter of a few minutes.
mels/thatcher_1960_004.pt	thatcher_1960_004.wav	Certainly until these two are a little older, I couldn't take on any more political responsibilities.
mels/cooke_1998-11-27_068.pt	cooke_1998-11-27_068.wav	There is new confidence in corporate takeovers.
mels/cooke_1974-12-23_017.pt	cooke_1974-12-23_017.wav	I believe it's as unavoidably simple as that.
mels/reagan_1988_31_5_196.pt	reagan_1988_31_5_196.wav	Goggle asks what will be its destination.
mels/reagan_1948_021.pt	reagan_1948_021.wav	Tax reduction bills have been passed to benefit the higher income brackets alone.
mels/lawlor_1995-10-18_006.pt	lawlor_1995-10-18_006.wav	Michael MacDonna is a traveler and community worker who's involved with the Navin Traveler Group.
mels/reagan_1982_20_9_065.pt	reagan_1982_20_9_065.wav	we will not be discouraged or deterred in our efforts to seek peace in Lebanon and adjust and lasting peace throughout them at least.
mels/plomley_1951_021.pt	plomley_1951_021.wav	did you enjoy the flying?
mels/reagan_1982_8_6_165.pt	reagan_1982_8_6_165.wav	That prestigious gathering could consider ways to help democratic political movements.
mels/reagan_1981_3_8_014.pt	reagan_1981_3_8_014.wav	Indeed, as president of my own union, I led the first strike ever called by that union.
mels/reagan_1961_028.pt	reagan_1961_028.wav	Walter Ruther said, it's no secret that the United automobile workers is officially on record as backing a program of national health insurance.
mels/cooke_1999-01-22_074.pt	cooke_1999-01-22_074.wav	It's still worth thinking about, and I honestly don't know the answer.
mels/reagan_1986_14_9_001.pt	reagan_1986_14_9_001.wav	good evening.
mels/finucane_1989-09-16_015.pt	finucane_1989-09-16_015.wav	Do you think sort of by the outstanding one?
mels/queen_1996_001.pt	queen_1996_001.wav	to look back is not necessarily to be nostalgic.
mels/gogan_2009-03-08_021.pt	gogan_2009-03-08_021.wav	What about the stage show now?
mels/bowman_2006-06-14_013.pt	bowman_2006-06-14_013.wav	It was the end of an era, and the beginning of another quite different era, the LeMasse era.
mels/magee_1998-02-03_040.pt	magee_1998-02-03_040.wav	But the biggest one of all was this one in court and that was a victory on points, but he doesn't mind.
mels/lockwood_1951_053.pt	lockwood_1951_053.wav	I'm the world-worst sailor.
mels/reagan_1954_015.pt	reagan_1954_015.wav	I'll get out of the way.
mels/reagan_1981_20_1_059.pt	reagan_1981_20_1_059.wav	So with all the creative energy at our command, let us begin an era of national renewal.
mels/reagan_1988_25_1_034.pt	reagan_1988_25_1_034.wav	Our third objective tonight is global, continuing the exciting economic and democratic revolutions we've seen around the world.
mels/reagan_1982_26_1_229.pt	reagan_1982_26_1_229.wav	Church and civic volunteers who helped to feed, cloth, nurse and teach the needy.
mels/cooke_1971-07-10_074.pt	cooke_1971-07-10_074.wav	Mr. Buckwald, as usual, knew precisely what had happened to Mr. Reston and gave us cause to forgive him.
mels/reagan_1986_14_9_070.pt	reagan_1986_14_9_070.wav	Get others involved with you, clubs, service groups and community organizations, and provide support and strength.
mels/reagan_1981_23_12_007.pt	reagan_1981_23_12_007.wav	GK Chesterden once said that the world would never starve for wonders, but only for the want of wonder.
mels/cooke_1981-04-03_018.pt	cooke_1981-04-03_018.wav	And by great good luck, he was one doctor in a thousand.
mels/reagan_1988_31_5_149.pt	reagan_1988_31_5_149.wav	Such freedom will always be looking over its shoulder, a bird on a tether, no matter how long the rope can always be pulled back.
mels/cooke_1947-01-12_008.pt	cooke_1947-01-12_008.wav	There's a mythical devotion in all this which I can best explain this way.
mels/doyle_1989-07-25_003.pt	doyle_1989-07-25_003.wav	Dublin County Council votes to ban gaming machines,
mels/reagan_1989_11_11_011.pt	reagan_1989_11_11_011.wav	The sorrow, the good buys of course and leaving this beautiful place.
mels/cooke_1998-11-27_014.pt	cooke_1998-11-27_014.wav	I could see nothing earth-shaking.
mels/cooke_1996-03-22_032.pt	cooke_1996-03-22_032.wav	It was the first reminder of New York as in a minor way a war casualty.
mels/cooke_1974-12-23_060.pt	cooke_1974-12-23_060.wav	Well he hit about six inches behind the ball which rose in an unsteady arc and landed about 120 yards away in front of a deep bunker.
mels/reagan_1983_25_1_125.pt	reagan_1983_25_1_125.wav	We must have adequate export financing to South American products overseas.
mels/cooke_2001-02-23_072.pt	cooke_2001-02-23_072.wav	Well, the polls say almost 70% now agree he is and this was put to them dishonest and untrustworthy.
mels/reagan_1987_12_6_091.pt	reagan_1987_12_6_091.wav	It would be only fitting for Berlin to serve as the site of United Nations meetings, or world conferences on human rights and arms control.
mels/lockwood_1951_052.pt	lockwood_1951_052.wav	Nothing at all to do with any fondness of mine for Boats.
mels/queen_1997_027.pt	queen_1997_027.wav	In October 51 representatives of Commonwealth governments met in Edinburgh very much in the spirit of a family gathering.
mels/queen_1983_040.pt	queen_1983_040.wav	computers cannot generate compassion.
mels/reagan_1983_23_3_036.pt	reagan_1983_23_3_036.wav	Since the dawn of the atomic age we've sought to reduce the risk of war by maintaining a strong deterrent and by seeking genuine arms control.
mels/bowman_1963-09-01_001.pt	bowman_1963-09-01_001.wav	Mr. D, the whole of Ireland knows you, um, as a comedian, um, we'd like tonight if we could get in behind that public image.
mels/cooke_2001-02-23_073.pt	cooke_2001-02-23_073.wav	But doesn't this affect his standing as president?
mels/queen_2000_010.pt	queen_2000_010.wav	But his ministry only lasted a few years and he himself never wrote anything down.
mels/queen_1970_004.pt	queen_1970_004.wav	Yet in all this diversity they had one thing in common.
mels/reagan_1981_3_8_002.pt	reagan_1981_3_8_002.wav	This was the culmination of seven months of negotiations between the federal aviation administration and the union.
mels/dunne_1981-01-08_009.pt	dunne_1981-01-08_009.wav	Missa Octo Volkham by Hans Leohastler.
mels/doyle_1998-06-25_003.pt	doyle_1998-06-25_003.wav	Turn out so far has been much lower than for the referendum on the agreement, but the bowling stations will remain open until 10 o'clock tonight.
mels/reagan_1985_6_2_003.pt	reagan_1985_6_2_003.wav	Tonight America is stronger because of the values that we hold dear.
mels/thatcher_1975_001.pt	thatcher_1975_001.wav	some socialists seem to believe that people should be numbers in a state computer.
mels/odulaing_1992_009.pt	odulaing_1992_009.wav	Which of your own songs is your favorite?
mels/thatcher_1980_001.pt	thatcher_1980_001.wav	if I could press a button and genuinely solve the unemployment problem, do you think that I would not press that button this instant?
mels/cooke_1983-06-10_094.pt	cooke_1983-06-10_094.wav	I simply didn't want you to throw your money away.
mels/lockwood_1980_040.pt	lockwood_1980_040.wav	Oh, good heavens, my father more than that, about 67.
mels/cooke_1981-08-07_060.pt	cooke_1981-08-07_060.wav	What are the terms of the settlement?
mels/queen_1994_029.pt	queen_1994_029.wav	This Christmas and in the coming year.
