mel	output	text
mels/reagan_1988_31_5_172.pt	reagan_1988_31_5_172.wav	Peace between nations must be an enduring goal, not a tactical stage in a continuing conflict.
mels/reagan_1994_008.pt	reagan_1994_008.wav	American prestige was at an all time low and our leaders talked about an American malaise.
mels/queen_1958_025.pt	queen_1958_025.wav	For presents and parties, for friendship and goodwill.
mels/cooke_1974-12-23_070.pt	cooke_1974-12-23_070.wav	A copy of an article that I once written on the origins of golf.
mels/thatcher_1989_11_08_004.pt	thatcher_1989_11_08_004.wav	The United Nations must assert its authority and apply a total economic embargo unless Iraq withdraws without delay.
mels/byrne_2005-05-02_016.pt	byrne_2005-05-02_016.wav	He retired from the Department of Local Government in 1989 where he worked as a building inspector and was known to many as the grant man.
mels/reagan_1986_4_2_157.pt	reagan_1986_4_2_157.wav	We say to you tonight, you are not alone freedom fighters, America will support you with moral and material assistance.
mels/reagan_1981_18_11_051.pt	reagan_1981_18_11_051.wav	And from my conversations with Allied leaders, I know that they also remain true to this tried and proven course.
mels/cooke_1980-11-06_043.pt	cooke_1980-11-06_043.wav	A few minutes later a couple of our friends arrived and the man said can we still have dinner?
mels/odulaing_1986-06-04_007.pt	odulaing_1986-06-04_007.wav	and did you have brothers and sisters and were you the youngest?
mels/cronkite_2007_003.pt	cronkite_2007_003.wav	Today, surely, they know to plan for the aftermath of any military action they undertake.
mels/queen_1956_006.pt	queen_1956_006.wav	Happy Christmas from us all.
mels/reagan_1988_25_1_043.pt	reagan_1988_25_1_043.wav	Yes, we Americans like the future and like making the most of it.
mels/reagan_1988_25_1_042.pt	reagan_1988_25_1_042.wav	Where others seek to throw up barriers, we seek to bring them down, where others take counsel of their fears, we follow our hopes.
mels/reagan_1989_11_11_010.pt	reagan_1989_11_11_010.wav	The sweet part is California and the ranch and freedom.
mels/reagan_1983_23_3_070.pt	reagan_1983_23_3_070.wav	Another example of what's happened.
mels/reagan_1983_8_3_047.pt	reagan_1983_8_3_047.wav	i think i should point out
mels/reagan_1983_23_3_081.pt	reagan_1983_23_3_081.wav	These warheads can reach their targets in a matter of a few minutes.
mels/thatcher_1960_004.pt	thatcher_1960_004.wav	Certainly until these two are a little older, I couldn't take on any more political responsibilities.
mels/cooke_1998-11-27_068.pt	cooke_1998-11-27_068.wav	There is new confidence in corporate takeovers.
mels/cooke_1974-12-23_017.pt	cooke_1974-12-23_017.wav	I believe it's as unavoidably simple as that.
mels/reagan_1988_31_5_196.pt	reagan_1988_31_5_196.wav	Goggle asks what will be its destination.
mels/reagan_1948_021.pt	reagan_1948_021.wav	Tax reduction bills have been passed to benefit the higher income brackets alone.
mels/lawlor_1995-10-18_006.pt	lawlor_1995-10-18_006.wav	Michael MacDonna is a traveler and community worker who's involved with the Navin Traveler Group.
mels/reagan_1982_20_9_065.pt	reagan_1982_20_9_065.wav	we will not be discouraged or deterred in our efforts to seek peace in Lebanon and adjust and lasting peace throughout them at least.
mels/plomley_1951_021.pt	plomley_1951_021.wav	did you enjoy the flying?
mels/reagan_1982_8_6_165.pt	reagan_1982_8_6_165.wav	That prestigious gathering could consider ways to help democratic political movements.
mels/reagan_1981_3_8_014.pt	reagan_1981_3_8_014.wav	Indeed, as president of my own union, I led the first strike ever called by that union.
mels/reagan_1961_028.pt	reagan_1961_028.wav	Walter Ruther said, it's no secret that the United automobile workers is officially on record as backing a program of national health insurance.
mels/cooke_1999-01-22_074.pt	cooke_1999-01-22_074.wav	It's still worth thinking about, and I honestly don't know the answer.
